access,area,bridge,coords,created_by,gid,highway,junction,lanes,lanes:backward,lanes:forward,length,maxspeed,motor_vehicle,motorcar,name,name_1,oneway,ramp,ref,service,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_base_1,tiger:name_base_2,tiger:name_base_3,tiger:name_direction_prefix,tiger:name_direction_prefix_1,tiger:name_direction_suffix,tiger:name_direction_suffix_1,tiger:name_type_2,tiger:name_type_3,tiger:reviewed,tiger:source,tiger:upload_uuid,tiger:zip_left,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right,tiger:zip_right_1,tiger:zip_right_2,tiger:zip_right_3,tiger:zip_right_4,toll,tunnel,turn:lanes,turn:lanes:backward,turn:lanes:forward,width
,,,"[[-77.825501,39.135822],[-77.825729,39.135962],[-77.826219,39.136260]]",,8802442,residential,,,,,,,,,Kelley Woods Pl,,,,,,A41,"Loudoun, VA",,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-77.759788,39.250291],[-77.760914,39.250026],[-77.761374,39.249955],[-77.761778,39.249984],[-77.762446,39.250101],[-77.763113,39.250334],[-77.763384,39.250361],[-77.763570,39.250296],[-77.763784,39.250101],[-77.764437,39.249172],[-77.764987,39.248334],[-77.765243,39.248079],[-77.765636,39.247817],[-77.765828,39.247647],[-77.765911,39.247470],[-77.765966,39.247187],[-77.765810,39.246557],[-77.765783,39.246330],[-77.765847,39.246047],[-77.766039,39.245714],[-77.766057,39.245488],[-77.766030,39.245240],[-77.766002,39.244971],[-77.766048,39.244638],[-77.766441,39.243491],[-77.766460,39.243243],[-77.766386,39.243094],[-77.766203,39.242967],[-77.765554,39.242492],[-77.765463,39.242365],[-77.765481,39.242195]]",,8806455,residential,,,,,,,,,Appalachian Lane,,,,,,A41,"Loudoun, VA",Appalachian,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-77.758391,39.270794],[-77.758031,39.271291],[-77.758081,39.271739]]",,8807327,residential,,,,,,,,,Hickory Lane,,,,,,A41,"Loudoun, VA",Hickory,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-77.799490,39.145454],[-77.799582,39.145379],[-77.799624,39.145335],[-77.799679,39.145262],[-77.800039,39.144751],[-77.800988,39.143406],[-77.801026,39.143368],[-77.801052,39.143356],[-77.801091,39.143351],[-77.801117,39.143353],[-77.801144,39.143361],[-77.801174,39.143377],[-77.801200,39.143402],[-77.802230,39.144652],[-77.803363,39.146002],[-77.805296,39.148280],[-77.806944,39.150243],[-77.807066,39.150389],[-77.807115,39.150434],[-77.807155,39.150458],[-77.807204,39.150472],[-77.807257,39.150474],[-77.807319,39.150463],[-77.807618,39.150393],[-77.807714,39.150375],[-77.807869,39.150362],[-77.808029,39.150359],[-77.808376,39.150365],[-77.808626,39.150359],[-77.808725,39.150356],[-77.808879,39.150359],[-77.808955,39.150367],[-77.809706,39.150529],[-77.809954,39.150588],[-77.810632,39.150778],[-77.811126,39.150911],[-77.811161,39.150925],[-77.811374,39.151060],[-77.811505,39.151132],[-77.811734,39.151250],[-77.811907,39.151331],[-77.812216,39.151446],[-77.812377,39.151913],[-77.812409,39.152486],[-77.812359,39.153825],[-77.812280,39.156353],[-77.812241,39.156510],[-77.812112,39.156588],[-77.811669,39.156822],[-77.811567,39.156883],[-77.811224,39.157091],[-77.810836,39.157297],[-77.810611,39.157424],[-77.810559,39.157453],[-77.810497,39.157482],[-77.810461,39.157492],[-77.810371,39.157502],[-77.810300,39.157494],[-77.810182,39.157458],[-77.810126,39.157453],[-77.810071,39.157457],[-77.810024,39.157473],[-77.809986,39.157497],[-77.809893,39.157591],[-77.809533,39.157989],[-77.809506,39.158028],[-77.809490,39.158067],[-77.809486,39.158110],[-77.809510,39.158254],[-77.809506,39.158273],[-77.809496,39.158290],[-77.809423,39.158358]]",,8808467,residential,,,,,,,,,Tree Crops Lane,,,,,,A41,"Loudoun, VA",Tree Crops,,,,,,,,,,no,,,20141,,,,,20141,,,,,,,,,,
,,,"[[-77.716719,39.316456],[-77.716742,39.316453],[-77.716793,39.316455],[-77.716822,39.316468],[-77.716857,39.316499],[-77.716884,39.316552],[-77.716904,39.316622],[-77.716916,39.316684],[-77.716910,39.316765],[-77.716900,39.316796],[-77.716806,39.316980],[-77.716745,39.317130],[-77.716721,39.317224],[-77.716704,39.317347],[-77.716707,39.317433],[-77.716725,39.317518],[-77.716759,39.317595],[-77.716938,39.317915],[-77.717380,39.318659]]",,8808949,residential,,,,,,,,,Riverheights Road,State Route 825,,,,,A31,"Loudoun, VA",Riverheights,State Route 825,,,,,,,,,no,,,20132,,,,,20132,,,,,,,,,,
,,,"[[-77.806576,39.170335],[-77.806582,39.170466],[-77.806630,39.170625],[-77.806642,39.170788],[-77.806620,39.170903],[-77.806392,39.171185],[-77.806214,39.171534],[-77.806052,39.171631],[-77.805854,39.171734],[-77.805769,39.171733],[-77.805693,39.171700],[-77.805226,39.171364],[-77.804802,39.171023],[-77.804545,39.170825],[-77.804314,39.170682],[-77.804049,39.170511],[-77.803889,39.170434],[-77.803664,39.170350],[-77.803596,39.170343],[-77.803552,39.170348],[-77.803499,39.170366],[-77.803440,39.170406],[-77.803394,39.170455],[-77.803341,39.170548],[-77.803287,39.170600],[-77.803177,39.170676],[-77.803114,39.170702],[-77.803064,39.170703],[-77.803010,39.170689],[-77.802953,39.170646],[-77.802873,39.170565],[-77.802816,39.170485],[-77.802723,39.170276],[-77.802692,39.170180],[-77.802676,39.170092],[-77.802702,39.169701],[-77.802677,39.169665],[-77.802558,39.169492],[-77.802449,39.169301],[-77.802324,39.169125],[-77.802206,39.168928],[-77.802122,39.168776],[-77.802028,39.168492],[-77.802005,39.168452],[-77.801970,39.168417],[-77.801920,39.168376],[-77.801868,39.168317],[-77.801830,39.168255],[-77.801786,39.168114],[-77.801693,39.167771],[-77.801609,39.167516],[-77.801561,39.167401],[-77.801486,39.167308],[-77.801417,39.167214],[-77.801341,39.167073],[-77.801271,39.166902],[-77.801212,39.166717],[-77.801127,39.166506],[-77.801092,39.166449],[-77.801047,39.166391],[-77.800986,39.166333],[-77.800910,39.166270],[-77.800749,39.166155],[-77.800538,39.166013],[-77.800408,39.165919],[-77.800301,39.165827],[-77.800254,39.165767],[-77.800040,39.165437],[-77.799920,39.165294],[-77.799789,39.165176],[-77.799647,39.165026],[-77.799538,39.164894],[-77.799455,39.164732],[-77.799443,39.164700],[-77.799429,39.164617],[-77.799423,39.164582],[-77.799418,39.164435],[-77.799447,39.164298],[-77.799489,39.164151],[-77.799519,39.164009],[-77.799534,39.163889],[-77.799533,39.163733]]",,8809255,residential,,,,,,,,,Mountain Orchard Lane,State Route 761,,,,,A41,"Loudoun, VA",Mountain Orchard,State Route 761,,,,,,,,,no,,,20141,,,,,20141,,,,,,,,,,
,,,"[[-77.827996,39.133512],[-77.827414,39.134036],[-77.827250,39.134154],[-77.827097,39.134276],[-77.826721,39.134601],[-77.826508,39.134765],[-77.826364,39.134876],[-77.826207,39.135028],[-77.825940,39.135385],[-77.825501,39.135822],[-77.824633,39.136687],[-77.824389,39.136997],[-77.823982,39.137398],[-77.823073,39.138278],[-77.823044,39.138306],[-77.822264,39.139035],[-77.822050,39.139208],[-77.821879,39.139485],[-77.821739,39.139839],[-77.821682,39.140111],[-77.821566,39.140521],[-77.821557,39.140573],[-77.821557,39.140617],[-77.821564,39.140657],[-77.821579,39.140693],[-77.821615,39.140740],[-77.821817,39.140912],[-77.821856,39.140974],[-77.821868,39.141011],[-77.821867,39.141054],[-77.821827,39.141220],[-77.821713,39.141649],[-77.821386,39.142881],[-77.821366,39.142994],[-77.821357,39.143114],[-77.821377,39.143309],[-77.821390,39.143381],[-77.821392,39.143471],[-77.821363,39.143703],[-77.821374,39.143770],[-77.821398,39.143838],[-77.821455,39.143944],[-77.821520,39.144116],[-77.821528,39.144173],[-77.821527,39.144237],[-77.821515,39.144289],[-77.821472,39.144390],[-77.821414,39.144473],[-77.820936,39.144898],[-77.820783,39.145057],[-77.820667,39.145187],[-77.820599,39.145232],[-77.820522,39.145273],[-77.820485,39.145297],[-77.820457,39.145322],[-77.820431,39.145354],[-77.820416,39.145384],[-77.820406,39.145426],[-77.820402,39.145469],[-77.820410,39.145560],[-77.820423,39.145599],[-77.820553,39.145862],[-77.820558,39.145898],[-77.820552,39.145941],[-77.820497,39.146060]]",,8810369,residential,,,,,,,,,Raven Rocks Road,,,,VA 601,,A31,"Loudoun, VA",Raven Rocks,State Route 601,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-77.769748,39.173170],[-77.769809,39.173257],[-77.769840,39.173317],[-77.769859,39.173384],[-77.769906,39.173643],[-77.769939,39.173710],[-77.770055,39.173875],[-77.770795,39.174836],[-77.770919,39.174998],[-77.770946,39.175034],[-77.771008,39.175114],[-77.772191,39.176711],[-77.772236,39.176765],[-77.772273,39.176796],[-77.772319,39.176820],[-77.774374,39.177541],[-77.774992,39.177744],[-77.776640,39.178285],[-77.777568,39.178590],[-77.777592,39.178597],[-77.777892,39.178685],[-77.779356,39.179186],[-77.779364,39.179203],[-77.779364,39.179226],[-77.779358,39.179244],[-77.779339,39.179274],[-77.779317,39.179294],[-77.779266,39.179316],[-77.778556,39.179487],[-77.778504,39.179507],[-77.778484,39.179523],[-77.778453,39.179549],[-77.778435,39.179573],[-77.778424,39.179598],[-77.778420,39.179643],[-77.778443,39.179796],[-77.778442,39.179861],[-77.778412,39.179975],[-77.778385,39.180027],[-77.778203,39.180308],[-77.778182,39.180347],[-77.778174,39.180386],[-77.778173,39.180435],[-77.778184,39.180476],[-77.778212,39.180516],[-77.778255,39.180555],[-77.779711,39.181750],[-77.779775,39.181794],[-77.779786,39.181798],[-77.779831,39.181813],[-77.779886,39.181822],[-77.779968,39.181836],[-77.780067,39.181860],[-77.780323,39.181934],[-77.780807,39.182073],[-77.782404,39.182546],[-77.786734,39.184102],[-77.788432,39.184726],[-77.788760,39.184842],[-77.788944,39.184924],[-77.789261,39.185053],[-77.789461,39.185095],[-77.789854,39.185214],[-77.789911,39.185223],[-77.789959,39.185226],[-77.790040,39.185213],[-77.790082,39.185195],[-77.790127,39.185162],[-77.790169,39.185106],[-77.790208,39.185036],[-77.790292,39.184821],[-77.790329,39.184755],[-77.790373,39.184692],[-77.790417,39.184640],[-77.790481,39.184588],[-77.790520,39.184567],[-77.790583,39.184541],[-77.790682,39.184510],[-77.790790,39.184470],[-77.790885,39.184423],[-77.790956,39.184383],[-77.791034,39.184316],[-77.791100,39.184246],[-77.791153,39.184203],[-77.791216,39.184167],[-77.791276,39.184142],[-77.791490,39.184084],[-77.791597,39.184045],[-77.791753,39.183981],[-77.791988,39.183874],[-77.792097,39.183830],[-77.792140,39.183819],[-77.792214,39.183810],[-77.792252,39.183816],[-77.792282,39.183828],[-77.792310,39.183851],[-77.792329,39.183875],[-77.792341,39.183911],[-77.792347,39.183953],[-77.792344,39.184026],[-77.792322,39.184191],[-77.792319,39.184255],[-77.792329,39.184398],[-77.792361,39.184656],[-77.792382,39.184738],[-77.792407,39.184796],[-77.792437,39.184834],[-77.792514,39.184896],[-77.792553,39.184942],[-77.792648,39.185071],[-77.792720,39.185152],[-77.792826,39.185210],[-77.792878,39.185233],[-77.793136,39.185305],[-77.793194,39.185318],[-77.793237,39.185320],[-77.793349,39.185300],[-77.793516,39.185254],[-77.793574,39.185243],[-77.793715,39.185225],[-77.793757,39.185210],[-77.793824,39.185168],[-77.793865,39.185132],[-77.793909,39.185083],[-77.793943,39.185037],[-77.793977,39.185005],[-77.794038,39.184966],[-77.794069,39.184955],[-77.794427,39.184876],[-77.794479,39.184859],[-77.794556,39.184821],[-77.794668,39.184751],[-77.794787,39.184662],[-77.794845,39.184643],[-77.794898,39.184636],[-77.794947,39.184634],[-77.795039,39.184645],[-77.795205,39.184694],[-77.795586,39.184796],[-77.795685,39.184830],[-77.795748,39.184858],[-77.795799,39.184887],[-77.795974,39.185043],[-77.796009,39.185064],[-77.796064,39.185082],[-77.796231,39.185081],[-77.796328,39.185085],[-77.796425,39.185095],[-77.796500,39.185107],[-77.796595,39.185138],[-77.796685,39.185180],[-77.796752,39.185222],[-77.796805,39.185263],[-77.796843,39.185312],[-77.796864,39.185350],[-77.796869,39.185391],[-77.796871,39.185407],[-77.796879,39.185583],[-77.796879,39.185697],[-77.796872,39.185752],[-77.796852,39.185833],[-77.796749,39.186056],[-77.796737,39.186089],[-77.796734,39.186124],[-77.796739,39.186148],[-77.796761,39.186182],[-77.796792,39.186212],[-77.796829,39.186235],[-77.796919,39.186270],[-77.797004,39.186298],[-77.797132,39.186332],[-77.797169,39.186355],[-77.797182,39.186377],[-77.797187,39.186415],[-77.797178,39.186479],[-77.797134,39.186668],[-77.797102,39.186764],[-77.797059,39.186833],[-77.796883,39.187052],[-77.796840,39.187124],[-77.796788,39.187236],[-77.796780,39.187306],[-77.796790,39.187418],[-77.796821,39.187574],[-77.796836,39.187623],[-77.796859,39.187657],[-77.796879,39.187674],[-77.796905,39.187688],[-77.796949,39.187704],[-77.797047,39.187714],[-77.797089,39.187722],[-77.797127,39.187738],[-77.797156,39.187762],[-77.797188,39.187796],[-77.797249,39.187888],[-77.797272,39.187931],[-77.797316,39.188036],[-77.797344,39.188066],[-77.797380,39.188078],[-77.797428,39.188075],[-77.797471,39.188059],[-77.797510,39.188019],[-77.797693,39.187719],[-77.797715,39.187695],[-77.797734,39.187684],[-77.797785,39.187680],[-77.798034,39.187726]]",,8813769,residential,,,,,,,,,Appalachian Trail Road,State Route 713,,,,,A41,"Loudoun, VA",Appalachian Trail,State Route 713,,,,,,,,,no,,,20132,,,,,20132,,,,,,,,,,
,,,"[[-77.761130,39.258929],[-77.759467,39.259115],[-77.759001,39.259170],[-77.757983,39.259290],[-77.757743,39.259330],[-77.757683,39.259353],[-77.757491,39.259397],[-77.755418,39.260063],[-77.754575,39.260333],[-77.754504,39.260336],[-77.754427,39.260316],[-77.753788,39.260105],[-77.753691,39.260098],[-77.753611,39.260134],[-77.753582,39.260154],[-77.753537,39.260185],[-77.753465,39.260272],[-77.753425,39.260384],[-77.753367,39.260517],[-77.753304,39.260630],[-77.753209,39.260748],[-77.753109,39.260853],[-77.752967,39.260993],[-77.752376,39.261602],[-77.752308,39.261658],[-77.752181,39.261788],[-77.752122,39.261874],[-77.752096,39.261977],[-77.752055,39.262260],[-77.752034,39.262355],[-77.751959,39.262431],[-77.751815,39.262537],[-77.751395,39.262831],[-77.750625,39.263215],[-77.750369,39.263326],[-77.750215,39.263419],[-77.750117,39.263529],[-77.750076,39.263672],[-77.750085,39.264001],[-77.750103,39.264189],[-77.750103,39.264325],[-77.750068,39.264470],[-77.749972,39.264800],[-77.749955,39.264957],[-77.749946,39.265129],[-77.749918,39.265241],[-77.749800,39.265616],[-77.749781,39.265735],[-77.749772,39.265863],[-77.749778,39.266011],[-77.749810,39.266135],[-77.749877,39.266314],[-77.749903,39.266372],[-77.750688,39.266919]]",,8816644,residential,,,,,,,,,Shady Lane,,,,,,A41,"Loudoun, VA",Shady,,,,,,,,,,no,,,20132,,,,,20132,,,,,,,,,,
,,,"[[-77.757743,39.259330],[-77.756760,39.256736],[-77.756702,39.256615],[-77.756636,39.256542],[-77.756552,39.256490],[-77.756416,39.256431],[-77.755896,39.256222],[-77.755360,39.255991],[-77.755120,39.255872],[-77.754968,39.255808],[-77.754806,39.255756],[-77.754622,39.255708],[-77.754420,39.255662],[-77.754183,39.255623],[-77.754001,39.255608],[-77.753925,39.255607],[-77.753857,39.255615],[-77.753783,39.255630],[-77.753523,39.255735],[-77.753340,39.255824],[-77.753212,39.255923],[-77.753036,39.256089],[-77.752922,39.256189],[-77.752843,39.256317],[-77.752781,39.256462],[-77.752553,39.256826],[-77.752419,39.256971],[-77.752269,39.257054],[-77.752156,39.257117],[-77.752000,39.257210],[-77.749099,39.259733],[-77.748929,39.259909],[-77.748843,39.260041],[-77.748799,39.260168],[-77.748800,39.260285],[-77.748823,39.260410],[-77.748866,39.260503],[-77.748925,39.260599],[-77.749080,39.260806],[-77.749182,39.260898],[-77.749350,39.261035],[-77.749495,39.261162],[-77.749626,39.261262],[-77.749710,39.261363],[-77.749861,39.261988],[-77.749986,39.262516],[-77.750215,39.263419]]",,8818225,residential,,,,,,,,,Crest Lane,,,,,,A41,"Loudoun, VA",Crest,,,,,,,,,,no,,,20132,,,,,20132,,,,,,,,,,
